symbol,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,hold_days,exit_reason,capital_after
MA,多,2021-08-10,2021-08-16,2583.0,2716.6594571428573,1,1318.0457633285725,6,ATR止盈,23847.128163954807
RM,多,2021-08-17,2021-08-24,2969.0,2835.2823652285715,1,-1357.491335992585,7,硬止损,22489.636827962222
TA,多,2021-08-17,2021-08-27,5118.0,5042.0,1,-397.78,10,超时10天,22091.856827962223
M,多,2021-08-20,2021-08-30,3528.0,3525.0,1,-54.685500000000005,10,超时10天,22037.171327962224
MA,空,2021-08-26,2021-09-06,2855.0,2918.0,1,-650.2055,11,超时11天,21386.965827962224
TA,多,2021-08-30,2021-09-08,5056.0,4811.600954057143,1,-1239.2635313838846,9,硬止损,20147.70229657834
MA,空,2021-09-09,2021-09-22,3059.0,3150.0,1,-931.7315,13,超时13天,19215.97079657834
MA,空,2021-09-23,2021-09-27,3150.0,3311.4381299999995,1,-1636.9963334549955,4,硬止损,17578.974463123344
MA,空,2021-09-28,2021-09-28,3385.0,3558.481927,1,-1759.1214567444981,0,硬止损,15819.853006378846
MA,空,2021-09-29,2021-09-30,3538.0,3719.3232075999995,1,-1838.6327072265947,1,硬止损,13981.220299152252
TA,空,2021-09-29,2021-10-11,5244.0,5490.247848799999,1,-1250.024177735394,12,硬止损,12731.196121416859
MA,空,2021-10-08,2021-10-12,3850.0,4047.3132699999996,1,-2000.7732964449965,4,硬止损,10730.422824971862
TA,空,2021-10-12,2021-10-13,5592.0,5279.738742857143,1,1542.2807429142858,1,ATR止盈,12272.703567886147
MA,空,2021-10-13,2021-10-15,4015.0,3640.6255714285717,1,3716.9495962142832,2,ATR止盈,15989.65316410043
MA,空,2021-10-19,2021-10-21,3850.0,3393.23,1,4542.348695,2,ATR止盈,20532.00185910043
TA,空,2021-10-19,2021-10-28,5582.0,5183.740742857143,1,1972.4562394142838,9,ATR止盈,22504.458098514715
MA,多,2021-10-28,2021-10-28,2828.0,2683.3483656,1,-1465.8060632796014,0,硬止损,21038.652035235114
MA,多,2021-10-29,2021-11-08,2786.0,2811.0,1,230.4105,10,超时10天,21269.062535235116
TA,多,2021-11-04,2021-11-15,5050.0,4946.0,1,-537.493,11,超时11天,20731.569535235118
RM,空,2021-11-22,2021-11-30,2770.0,2642.731714285714,1,1253.7382961428586,8,ATR止盈,21985.307831377977
M,空,2021-11-30,2021-12-06,3237.0,3134.3526,1,1004.1742658999983,6,ATR止盈,22989.482097277974
RM,空,2021-12-16,2021-12-27,2885.0,2936.0,1,-530.3735,11,超时11天,22459.108597277973
M,空,2021-12-27,2021-12-31,3265.0,3189.0,1,737.4110000000001,4,回测结束,23196.519597277973
RM,空,2021-12-28,2021-12-31,2947.0,2912.0,1,329.4935,3,回测结束,23526.013097277973
TA,空,2021-12-31,2021-12-31,5004.0,5018.0,1,-87.5385,0,回测结束,23438.474597277975
RM,空,2022-02-22,2022-02-24,3499.0,3678.3244497999995,1,-1818.3651335742945,2,硬止损,8181.634866425706
M,空,2022-02-22,2022-02-24,3815.0,4010.5195129999993,1,-1982.5844482954928,2,硬止损,6199.050418130213
RM,空,2022-02-25,2022-02-28,3800.0,3556.8114285714287,1,2406.136874285713,3,ATR止盈,8605.187292415925
MA,空,2022-03-04,2022-03-07,3139.0,3299.8743777999994,1,-1631.2798383222937,3,硬止损,6973.907454093632
RM,空,2022-03-08,2022-03-08,3880.0,4078.8507759999993,1,-2016.3637377159932,0,硬止损,4957.543716377639
MA,空,2022-03-08,2022-03-10,3266.0,3033.9182285714287,1,2298.768000485713,2,ATR止盈,7256.311716863352
M,空,2022-03-08,2022-03-18,4075.0,4269.0,1,-1969.204,10,超时10天,5287.107716863352
MA,多,2022-04-01,2022-04-11,2910.0,2799.0,1,-1129.9815,10,超时10天,4157.126216863352
MA,多,2022-04-12,2022-04-18,2785.0,2971.1284285714282,1,1841.1378362142823,6,ATR止盈,5998.264053077634
TA,多,2022-04-12,2022-04-18,5870.0,6284.888285714285,1,2053.1703740714265,6,ATR止盈,8051.434427149061
M,多,2022-04-19,2022-04-21,3934.0,4127.0725142857145,1,1902.5113890571454,2,ATR止盈,9953.945816206206
MA,多,2022-04-25,2022-04-26,2857.0,2710.8650214000004,1,-1480.8373135748961,1,硬止损,8473.108502631309
TA,多,2022-04-26,2022-04-29,5922.0,6276.041542857143,1,1748.861141585716,3,ATR止盈,10221.969644217024
RM,多,2022-04-25,2022-05-05,3767.0,3799.0,1,293.519,10,超时10天,10515.488644217025
M,多,2022-05-10,2022-05-16,3890.0,4124.6351428571425,1,2318.3002055714246,6,ATR止盈,12833.788849788449
RM,多,2022-05-09,2022-05-19,3632.0,3730.0,1,954.233,10,超时10天,13788.021849788449
TA,空,2022-05-19,2022-05-30,6646.0,6754.0,1,-563.45,11,超时11天,13224.571849788448
RM,多,2022-05-25,2022-06-06,3629.0,3734.0,1,1024.2295,12,超时12天,14248.801349788448
TA,空,2022-05-31,2022-06-06,6754.0,7100.143850799999,1,-1754.964005738896,6,硬止损,12493.837344049552
M,空,2022-05-30,2022-06-09,4210.0,4186.0,1,210.614,10,超时10天,12704.451344049552
RM,多,2022-06-08,2022-06-10,3652.0,3835.5875428571426,1,1809.6688721714258,2,ATR止盈,14514.120216220977
MA,空,2022-06-15,2022-06-16,2945.0,2809.6967142857143,1,1332.8914186428572,1,ATR止盈,15847.011634863835
TA,空,2022-06-08,2022-06-17,7398.0,7009.091828571429,1,1919.3284464428561,9,ATR止盈,17766.34008130669
RM,多,2022-06-16,2022-06-23,3662.0,3474.6894324000004,1,-1898.0840890133957,7,硬止损,15868.255992293296
MA,多,2022-06-20,2022-06-23,2750.0,2609.3380500000003,1,-1425.377183174997,3,硬止损,14442.8788091183
M,多,2022-06-22,2022-06-23,4090.0,3918.2598180000005,1,-1745.4307293629954,1,硬止损,12697.448079755304
M,多,2022-06-24,2022-07-04,3850.0,3837.0,1,-156.90449999999998,10,超时10天,12540.543579755304
TA,多,2022-06-27,2022-07-06,6468.0,6137.1630936,1,-1676.2435674137994,9,硬止损,10864.300012341504
RM,空,2022-08-12,2022-08-22,2872.0,2848.0,1,219.98,10,超时10天,11084.280012341504
RM,空,2022-08-24,2022-09-05,2980.0,2946.0,1,319.259,12,超时12天,11403.539012341504
MA,空,2022-08-31,2022-09-09,2583.0,2711.3681165999997,1,-1302.2114544080966,9,硬止损,10101.327557933408
MA,空,2022-09-13,2022-09-20,2779.0,2663.5870571428572,1,1135.0803738714276,7,ATR止盈,11236.407931804835
M,空,2022-09-21,2022-09-29,3999.0,4157.095599799999,1,-1609.5023325992904,8,硬止损,9626.905599205546
RM,空,2022-09-23,2022-09-30,3110.0,3265.1696219999994,1,-1574.0093136769945,7,硬止损,8052.896285528551
M,空,2022-09-30,2022-10-10,4142.0,4093.0,1,461.1775,10,超时10天,8514.073785528552
MA,多,2022-10-18,2022-10-27,2661.0,2524.8903821999997,1,-1379.2467943377026,9,硬止损,7134.826991190849
RM,多,2022-10-20,2022-10-31,3025.0,2994.0,1,-331.0665,11,超时11天,6803.760491190849
M,多,2022-10-20,2022-10-31,3975.0,4111.0,1,1331.699,11,超时11天,8135.45949119085
RM,多,2022-11-01,2022-11-02,2985.0,3135.0255714285713,1,1478.8356247857132,1,ATR止盈,9614.295115976563
RM,多,2022-11-04,2022-11-09,3017.0,3182.0319714285715,1,1628.6231023857151,5,ATR止盈,11242.918218362278
